title,original_price,current_price
Pusspārni Rīgas Miesnieks Cāļa Baltajā Marinādē 400g,‌,1.99
Viskijs Sam Barton Canadian Whisky 40% 0.7l,N/A,N/A
Brendijs Gran Mirador 7 36% 0.5l,N/A,N/A
Brendijs Gran Mirador 12 38% 0.5l,N/A,N/A
Krēmsiers Philadelphia Ar Lasi 175g,"3,69 € - 4,39 €",2.69
Torte Ineses Zemeņu Deserts 600g,"7,59 € - 7,99 €",6.49
Kafijas Pupiņas Lofbergs Crema Ra 1kg,"34,99 € - 35,69 €",17.99
Vistas Karijs Presto Ar Rīsiem 300g,"3,99 € - 4,49 €",2.99
Plovs Presto Ar Cūkgaļu 300g,"3,99 € - 4,49 €",2.99
Pasta Presto Ar Tomātiem Un Liellopu Gaļu 300g,"3,99 € - 4,99 €",2.99
Saldētas Garneles R Seafood Tīr. Ar Asti  26/30 440g,"11,99 € - 12,29 €",9.99
Cepamforma Silikona Gaisa Friterim Saliekma D20cm,"4,99 € - 5,69 €",2.99
Šķidrās Ziepes Dove Glowing Ritual Rezerve 500ml,‌,2.69
Kečups Heinz Pickle Ar Mar.gurķiem 460g,"4,99 € - 5,69 €",2.99
Kečups Heinz Smokey Bacon 460g,"4,99 € - 5,69 €",2.99
Cepetis Rīgas Miesnieks Maltās Gaļas Itāļu Gaumē 500g,"3,09 € - 3,39 €",2.59
Cepetis Rīgas Miesnieks Cūkgaļas Svētku Sver. Fas.,"7,89 € - 7,99 €",5.99
Desa Rīgas Miesnieks Jauda Pilndūmu 210g,"3,59 € - 4,09 €",2.19
Desa Rīgas Miesnieks Spēks Pilndūmu 210g,"3,59 € - 4,09 €",2.19
Desa Lido Ekstra Vārīta Ar Tītara Gaļu 320g,"4,19 € - 4,89 €",2.99
Cāļa Stilbi Ķekava Meistara Marinādē Lielpaka Sver. Fas.,"3,39 € - 3,69 €",2.99
Saldējums Zemnieku Sviesta Cepumu 260g,"3,49 € - 3,99 €",2.59
Saldējums Zemnieku Biezpiena Ķiršu 260g,"3,49 € - 3,99 €",2.59
Saldējums Zemnieku Biezpiena Upeņu 260g,"3,49 € - 3,99 €",2.59
Biezpiena Sieriņš Emma Ar Dzērvenēm 40g,‌,0.29
Kausētais Siers Tere Klasiskais 200g,‌,1.05
Kausētais Siers Tere  Ar Grilētu Vistu  200g,‌,1.05
Kausētais Siers Tere  Ar Trifelēm  170g,‌,1.05
Kausētais Siers Tere  Ar Maurlokiem 200g,‌,1.05
Biezpiena Sieriņš Emma Ar Kondensēto Pienu 40g,‌,0.29
Biezpiena Sieriņš Emma Vaniļas 40g,‌,0.29
Kūka Lido Siera Dubaijas Šokolādes Cepta 350g,"8,69 € - 8,79 €",6.99
D Alus Tērvetes Zaļais 4.4% 0.5lx 6gab.stikls,N/A,N/A
D Alus Tērvetes Sarkanais 5.2% 0.5lx 6gab.stikls,N/A,N/A
D Dzēriens Vit.perf.pro Fit Vibe 500ml Pet,"1,69 € - 1,72 €",1.09
D Dzēriens Vit.perf.pro Relax 500ml Pet,"1,69 € - 1,72 €",1.09
Tako Fazer Street Food Mīkstie 8gab. 240g,"2,09 € - 2,49 €",1.49
Graudu Maize Fazer Ierauga Sēklu 500g,"1,69 € - 1,99 €",1.39
Sausās Brokastis Tip Top Kvieši Ar Medu 500g,‌,2.29
Cepumi Oreo Vanilla Original 154g,"1,99 € - 2,29 €",1.59
Cepumi Oreo Double Stuff Pocket 157g,"1,99 € - 2,29 €",1.59
Trauku Mazg.līdz.fairy Pure Clean 450ml,‌,1.59
Barība Suņiem Kons.primadog Meža Dzīvn.gaļas Maltīte 600g,"4,79 € - 5,49 €",3.19
Makaroni Opā Penne Rigate 400g,‌,0.50
Makaroni Opā Fusilli 400g,‌,0.50
Makaroni Opā Cornetti Rigati  400g,‌,0.50
Rolāde Ķekava Cāļa Šķiņķa Ar Marinētu Gurķu Garšu 400g,"4,99 € - 5,69 €",3.99
Desa Ādaži Doktora Dūmotā 400g,"2,19 € - 2,49 €",1.89
Barība Kaķiem Kons.zupa Felix Gaļas Izlase 48gx6,"2,99 € - 3,49 €",1.99
Barība Kaķiem Kons.zupa Felix Zivju Izlase 48gx6,"2,99 € - 3,49 €",1.99
Šokolādes Dzēriens Mokate Karalis Lauva Ar Cepumu Garšu 27g,"2,19 € - 3,09 €",1.19
Šokolādes Dzēriens Mokate Karalis Lauva Ar Banānu Garšu 27g,"2,19 € - 3,09 €",1.19
Šokolādes Dzēriens Mokate Karalis Lauva Ar Aveņu Garšu 27g,"2,19 € - 3,09 €",1.19
Raudzēts Piena Produkts Lakto Aveņu Melleņu 450g,‌,1.09
Džins Juniper Island London Dry Gin 40% 0.7l,N/A,N/A
Desa Tip Top Auksti Kūpināta 200g,‌,2.49
Šokolādes Konfektes Roshen Romashka Sver.,"8,15 € - 10,15 €",6.65
Šampinjoni Frutico Marinēti 290g,"1,89 € - 2,29 €",1.39
Eļļa Bionaturalis Mtc Ekoloģiska 250ml,"12,89 € - 13,39 €",8.99
Eļļa Bionaturalis Rapšu Organic Sprejs 200ml,"5,99 € - 6,09 €",4.19
Eļļa Bionaturalis Saulespuķu Organic Sprejs 200ml,"5,99 € - 6,79 €",4.19
Dz.vīns Le Contesse Prosecco Doc Brut 11% 0.75l,N/A,N/A
Sardeles Adulio Vārītas Ar Speķi 700g,"4,65 € - 4,99 €",3.29
Saldējums Karlsons Ābolu Upeņu 75g,"0,99 € - 1,19 €",0.59
Jogurts Skyr Islandes Bez Piedevām 400g,"1,85 € - 2,15 €",1.45
Jogurts Müller Mix Ar Vafelēm 130g,"0,99 € - 1,19 €",0.69
Kakao Dzēriens Mokate Karalis Lauva 150g,"2,19 € - 2,69 €",1.49
Kečups Tip Top 830g,‌,1.69
Salami Tip Top Karsti Kūpināts Šķēlēs 100g,‌,1.29
Bekons Tip Top Karsti Kūpināts Šķēlēs 100g,‌,1.49
Rudzu Maize Tip Top 800g,‌,0.99
Želejkonfektes Minpixi 4d Spongebob Pineapapple 125g,"2,29 € - 2,69 €",1.69
Želejkonfektes Minpixi 4d Paw Patrol Orange 125g,"2,29 € - 2,69 €",1.69
Karameles Werthers Original Chewy Toffees 135g,"2,79 € - 2,89 €",1.99
Zefīrs Tip Top Ar Vaniļas Garšu 260g,‌,1.89
Zefīrs Tip Top Dzērveņu  260g,‌,1.89
Konservi Lašu Salāti Kaija Mexicano 160g Eo,"2,09 € - 2,39 €",1.79
Konservi Lašu Salāti Kaija Italiano 160g Eo,"2,09 € - 2,39 €",1.79
Degvīns Smirnoff Red Vodka  37.5% 0.7l,N/A,N/A
Burgers Collection Ar Čedaras Sieru 400g,"3,35 € - 3,59 €",2.39
Gurķi Dimdiņi Marinēti Saldskābie 680g,"3,49 € - 3,59 €",2.19
Gurķi Dimdiņi Marinēti Klasiskie 660g,"3,49 € - 3,59 €",2.19
Pasta Rana Svaigā Ar Ricottu Un Spinātiem 250g,"3,49 € - 3,99 €",2.99
Pasta Rana Svaigā Ravioli Ar 4 Sieriem 250g,"3,49 € - 3,99 €",2.99
D Dzēriens Pepsi Max Gāz.2l Pet,‌,1.39
Degvīns Perepjolka Molochna 40% 0.7l,N/A,N/A
Graudu Maize Tip Top 300g,‌,0.79
Kūciņas Taste Story Eclair 250g,"5,59 € - 6,39 €",3.39
Saldais Biezpiens Baltais Ar Dubaijas Šokolādes Garšu 180g,‌,1.19
Buljons Ķekava Vistas 350ml,"3,79 € - 4,29 €",2.59
Buljons Ķekava Dārzeņu 350ml,"3,79 € - 4,29 €",2.59
Buljons Ķekava Liellopa 350ml,"3,79 € - 4,29 €",2.59
Mērce Ķekava Krēmīgā Ar Citronu Garšu 230ml,"3,99 € - 4,59 €",2.99
Mērce Ķekava Siera Krēmīgā 230ml,"3,99 € - 4,59 €",2.99
Mērce Ķekava Siera Krēmīgā 230ml,"3,99 € - 4,59 €",2.99
Cāļa Gaļas Izlase Vigesta Karsti Kūpināta 500g,"4,19 € - 4,75 €",2.99
Kafija Šķīstošā Jacobs 2in1 Classic 12.4gx10 Maiss,‌,1.59
Rums Planteray Double Aged Dark 40% 0.7l,N/A,N/A
Biezpiens Tip Top 9% 400g,‌,2.49
D Alus Carlsberg 5% 0.5l Stikls,N/A,N/A
Kafija Malta Jacobs Brazil&colombia 450g,"15,69 € - 16,99 €",8.99
Kafijas Pupiņas Jacobs Kenya&uganda 1kg,"19,99 € - 33,99 €",17.99
Kafija Malta Jacobs Origs Uganda&kenya 450g,"15,69 € - 16,99 €",8.99
Desiņas Tip Top Mednieku 400g,‌,2.49
Cepamais Pulveris Santa Maria 45g,"0,99 € - 1,05 €",0.72
Citronskābe Santa Maria 32g,"0,69 € - 0,79 €",0.49
Tostermaize Tip Top 500g,‌,0.89
Siers Valio Tilsit Rīvēts 150g,"1,89 € - 2,19 €",1.59
Desa Bauska Cāļa Klasiskā 900g,"1,79 € - 2,09 €",1.29
Cepumi Tip Top Iemīļotie Ar Šokolādes Garšu 180g,‌,0.69
Karameles Tip Top Ar Bumbieru Garšu Sver.,‌,3.99
Marshmallow Tip Top Bbq 500g,‌,4.29
Siers Goat Farm Kazas Piena 130g,"3,59 € - 3,79 €",2.99
Siers Jaunpils Guni 400g,‌,3.59
Želejkonfektes Haribo Worms 100g,"1,45 € - 1,75 €",1.15
Ķīselis Valdo Aveņu 200g,‌,0.69
D Alus Krombacher Hell 5% 0.5l Can,N/A,N/A
Siers Sn Cietais Šķēlēs 150g,"2,59 € - 3,09 €",1.99
D Alus Solveza Extra 4.5% 0.33l Stikls,N/A,N/A
Šampūns Head & Shoulders 2in1 Menthol 330ml,‌,4.69
Zobu Birste  Oral-b 1-23 Medium.40 1gab.,‌,0.75
Vafeles Tip Top Ar Kakao Garšu 150g,‌,0.99
Vafeles Tip Top Ar Piena Garšu 150g,‌,0.99
Vafeles Tip Top Ar Citrona Garšu 150g,‌,0.99
Sulas Dzēriens Pfanner Fruity Apelsīnu 25% 2l Tetra,"3,29 € - 3,35 €",2.99
Mitrinoša Dušas&vannas Žel.langelica Ar Auzu Pieniņu 500ml,"5,49 € - 6,29 €",3.29
Barojoša Dušas&vannas Žel.langelica Ar Kokosr.pienu 500ml,"5,49 € - 6,29 €",3.29
Čipsi O'byte Kartupeļu Ar Tomātu Garšu 90g,"1,89 € - 1,99 €",1.39
Čipsi O'byte Kartupeļu Ar Krējuma Un Sīpolu Garšu 90g,"1,89 € - 1,99 €",1.39
Pirts Smilšu Pulkstenis 15min 4living,"8,85 € - 10,05 €",6.20
Kēkss Svētku Siguldas Maiznieks Ar Sukādēm 400g,"2,29 € - 2,59 €",1.99
Īpaši Tumša Šokolāde Laima Lukss 87% 90g,‌,2.09
Veļas Mīkstinātājs Lenor Gold Orchid Vanilla 675ml 32mr,‌,3.59
Veļas Mazg.līdz.ariel Sensitive 1.125l 25mr,"10,49 € - 12,49 €",8.29
Veļas Mazg.kapsulas Ariel Color 70gab,‌,18.99
Veļas Mazg.kapsulas Ariel Mountain Spring 30gab,"20,79 € - 21,99 €",12.99
Veļas Mazg.līdz.ariel Mountain Spring 1.125l 25mr,"10,49 € - 12,49 €",8.29
Veļas Mīkstinātājs Lenor Lotus Diamond 987ml 37mr,"6,99 € - 7,99 €",4.79
Veļas Mīkstinātājs Lenor Floral Bouquet 987ml 47mr,"6,99 € - 7,99 €",4.79
Jogurts Farmi Skyr Meža Zemeņu 150g,"1,19 € - 1,49 €",0.79
Jogurts Farmi Skyr Apelsīnu Straciatella 150g,"1,19 € - 1,49 €",0.79
D Alk.kokt. Mix Original Pornstar Martini  4% 0.33l Stikls,N/A,N/A
Tumšā Šokolāde Laima Sarkanā Magone 90g,‌,2.09
Kondicionieris Matiem Pantene Intensive Repair Active 275ml,‌,4.29
Skuveklis Gillette Sensor 3 Plus Comfort Ar 8 Kasetēm,"8,49 € - 10,49 €",6.99
D Sidrs Somersby Pineapple Lime 4.5% 0.5l Can,N/A,N/A
Siera Uzkoda Ādaži Collection 300g,"2,99 € - 3,29 €",2.59
Siers Holandes Jaunpils Šķēlēs 300g,"2,99 € - 3,29 €",2.59
Pirts Cepure Rento Brūna,"9,99 € - 11,19 €",6.99
Termometrs Pirtij 4living Koka,"3,99 € - 4,49 €",2.79
Birste Ķermenim Rento Bamboo,"9,99 € - 12,29 €",6.99
Sautējums William Saurin Pupiņu Ar Pīli 400g,‌,3.69
Sautējums William Saurin Cūkgaļas Ar Lēcām 400g,‌,3.69
Sautējums William Saurin Vistas Ar Sēņu Mērci 400g,‌,3.69
Vista Krējuma Mērcē William Saurin Ar Makaron. Un Sēnēm 280g,‌,3.69
Sautējums William Saurin Teļa Gaļas Un Dārzeņu 280g,‌,3.69
Sautējums William Saurin Truša Baltvīna Mērcē 300g,‌,3.69
Veļas Mazg.kapsulas Ariel Color 30gab,"20,79 € - 22,99 €",12.99
D Dzēriens Biola Mojito Zemeņu Gāz. 500ml Pet,"0,89 € - 0,92 €",0.65
Mērce Dimdiņi Cēzara Maigā 250g Stāvpaka,"2,89 € - 3,39 €",1.89
Graudainais Biezpiens Tip Top 9% 185g,‌,1.25
Graudainais Biezpiens Tip Top 0.5% 185g,‌,1.15
Desiņas Ādaži Grill Collection Chedarwurst 350g,"2,99 € - 3,49 €",2.24
D Minerālūdens Acqua Panna Negāz. 1l Pet,‌,1.09
Vermuts Martini Fiero 15% 1l,N/A,N/A
D Dzēriens Royal Club Indian Tonic 1.0l Pet,"1,89 € - 1,93 €",1.09
D Dzēriens Royal Club Pink Tonic 1.0l Pet,"1,89 € - 1,93 €",1.09
Šķidrās Ziepes Dagne Bārbele 500ml,‌,1.39
D Enerģijas Dzēr.cult Game Changer 500ml Can,‌,0.89
Desiņas Ādaži Mini Grill Collection Bbq 250g,"2,29 € - 2,59 €",1.94
Mitrās Salvetes Pampers Harmonie Aqua Pf 48gab,‌,2.54
Mitrās Salvetes Pampers Sensitive Pf 52gab,‌,1.69
Sulas Dzēriens Elmenhorster Sark.augļu Mix 20% 2l,"2,89 € - 2,99 €",2.39
D Minerālūdens Hohes C Antiox V.gāz.zem. Greip.750ml Pet,"2,29 € - 2,34 €",1.69
D Minerālūdens Hohes C Protect V.gāz. Laims Ingv. 750ml Pet,"2,29 € - 2,34 €",1.69
Vīns B. Teliani Valley Pirosmani White 11% 0.75l,N/A,N/A
Vīns S. Teliani Valley Pirosmani 11.5% 0.75l,N/A,N/A
Kafijas Kapsulas Aroma Gold Crème Brulee 256g,"7,59 € - 8,49 €",5.39
D Dzēriens Super Manki Bubblegum Gāz. 330ml Can,"1,09 € - 1,12 €",0.69
Siers Jaunpils Tilsiter Šķēlēs 300g,"2,99 € - 3,29 €",2.59
Vīns S. Argo Alazani Valley Medium Sweet Red 11.5% 0.75l,N/A,N/A
Vīns B. Argo Alazani Valley Medium Sweet White 11.5% 0.75l,N/A,N/A
Kotlešu Masa Rīgas Miesnieks Mājas 400g,"1,99 € - 2,29 €",1.59
Cāļa Fileja Rīgas Miesnieks Sulīgā ~600g,"7,49 € - 9,49 €",5.99
Vīns B. Crafted Collection Pinot Grigio 11.5% 0.75l,N/A,N/A
Vīns B. Tarapaca Biodiversity Pinot Grigio 12.5% 0.75l,N/A,N/A
Vīns S. Tarapaca Biodiversity Red Blend 13.5% 0.75l,N/A,N/A
Humoss Ribella Pikantais 200g,"2,15 € - 2,39 €",1.59
